yourlist:M20200824A94466D2655679D1FD8953E075198DA850B510E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
RMX60864.1	A0A3M6V569	A0A3M6V569_9CNID	unreviewed	Uncharacterized protein	pdam_00003507	Pocillopora damicornis	442			
PFX29273.1	A0A2B4SJK5	A0A2B4SJK5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene5986	Stylophora pistillata (Smooth cauliflower coral)	341			
RMX38435.1	A0A3M6TAL6	A0A3M6TAL6_9CNID	unreviewed	SWIM-type domain-containing protein	pdam_00016263	Pocillopora damicornis	272	zinc ion binding [GO:0008270]	GO:0008270	
CAB1354012.1	A0A6F9CZR7	A0A6F9CZR7_9TELE	unreviewed	Uncharacterized protein	CSTEINMANNI_LOCUS4886580	Coregonus sp. 'balchen'	532			
PFX11146.1	A0A2B4R1R6	A0A2B4R1R6_STYPI	unreviewed	Transposon TX1 uncharacterized 149 kDa protein (Fragment)	AWC38_SpisGene25341	Stylophora pistillata (Smooth cauliflower coral)	531			
PFX15969.1	A0A2B4RGN1	A0A2B4RGN1_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene19780	Stylophora pistillata (Smooth cauliflower coral)	300			
RMX44019.1	A0A3M6TRQ5	A0A3M6TRQ5_9CNID	unreviewed	Uncharacterized protein	pdam_00012963	Pocillopora damicornis	244			
RMX57234.1	A0A3M6UUJ6	A0A3M6UUJ6_9CNID	unreviewed	Uncharacterized protein	pdam_00023518	Pocillopora damicornis	174			
PFX18661.1	A0A2B4RM29	A0A2B4RM29_STYPI	unreviewed	CCHC-type domain-containing protein	AWC38_SpisGene16976	Stylophora pistillata (Smooth cauliflower coral)	787	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0004190; GO:0008270	
PFX20437.1	A0A2B4RVT0	A0A2B4RVT0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene15112	Stylophora pistillata (Smooth cauliflower coral)	461			
EGT56971.1	G0NBL0	G0NBL0_CAEBE	unreviewed	Uncharacterized protein	CAEBREN_28621	Caenorhabditis brenneri (Nematode worm)	2667	integral component of membrane [GO:0016021]; aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0004190; GO:0015074; GO:0016021	
RMX51813.1	A0A3M6UDQ7	A0A3M6UDQ7_9CNID	unreviewed	Uncharacterized protein	pdam_00021959	Pocillopora damicornis	232	calcium ion binding [GO:0005509]	GO:0005509	
RUA04501.1	A0A432I308	A0A432I308_9GAMM	unreviewed	Uncharacterized protein	DSY43_06165	Gammaproteobacteria bacterium	382			
RMX44612.1	A0A3M6TT94	A0A3M6TT94_9CNID	unreviewed	Uncharacterized protein	pdam_00002805	Pocillopora damicornis	222			
RMX55995.1	A0A3M6UQS7	A0A3M6UQS7_9CNID	unreviewed	Uncharacterized protein	pdam_00016397	Pocillopora damicornis	453	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	
RMX47464.1	A0A3M6U1R6	A0A3M6U1R6_9CNID	unreviewed	SWIB domain-containing protein	pdam_00002111	Pocillopora damicornis	271			
PFX20482.1	A0A2B4RW91	A0A2B4RW91_STYPI	unreviewed	Nascent polypeptide-associated complex subunit alpha	naca AWC38_SpisGene15061	Stylophora pistillata (Smooth cauliflower coral)	247	nascent polypeptide-associated complex [GO:0005854]	GO:0005854	
PFX17691.1	A0A2B4RJ99	A0A2B4RJ99_STYPI	unreviewed	Polycystin-2	pkd2 AWC38_SpisGene17973	Stylophora pistillata (Smooth cauliflower coral)	1481	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	
RMX44475.1	A0A3M6TSU8	A0A3M6TSU8_9CNID	unreviewed	Uncharacterized protein	pdam_00006009	Pocillopora damicornis	183			
RUS89171.1	A0A433U5Q9	A0A433U5Q9_ELYCH	unreviewed	Uncharacterized protein	EGW08_003050	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	598			
PFX13207.1	A0A2B4RA14	A0A2B4RA14_STYPI	unreviewed	Whirlin (Fragment)	DFNB31 AWC38_SpisGene22732	Stylophora pistillata (Smooth cauliflower coral)	773	integral component of membrane [GO:0016021]; sensory perception of light stimulus [GO:0050953]; sensory perception of sound [GO:0007605]	GO:0007605; GO:0016021; GO:0050953	
PFX22047.1	A0A2B4S0E3	A0A2B4S0E3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13436	Stylophora pistillata (Smooth cauliflower coral)	532	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
PFX11688.1	A0A2B4R5M9	A0A2B4R5M9_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene24490	Stylophora pistillata (Smooth cauliflower coral)	185			
PFX24614.1	A0A2B4S1Q2	A0A2B4S1Q2_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene10787	Stylophora pistillata (Smooth cauliflower coral)	363	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX31498.1	A0A2B4SSD3	A0A2B4SSD3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene3745	Stylophora pistillata (Smooth cauliflower coral)	576			
PFX28385.1	A0A2B4SIW5	A0A2B4SIW5_STYPI	unreviewed	Major facilitator superfamily domain-containing protein 12	MFSD12 AWC38_SpisGene6888	Stylophora pistillata (Smooth cauliflower coral)	776	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]; carbohydrate transport [GO:0008643]	GO:0008643; GO:0015293; GO:0016021	
PFX22595.1	A0A2B4S283	A0A2B4S283_STYPI	unreviewed	Actin, cytoplasmic	AWC38_SpisGene12876	Stylophora pistillata (Smooth cauliflower coral)	376	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]	GO:0005524; GO:0005737; GO:0005856	
PFX31474.1	A0A2B4SLB2	A0A2B4SLB2_STYPI	unreviewed	Maternal protein exuperantia	exu AWC38_SpisGene3751	Stylophora pistillata (Smooth cauliflower coral)	386	nucleic acid binding [GO:0003676]	GO:0003676	
PFX27355.1	A0A2B4SFX6	A0A2B4SFX6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene7937	Stylophora pistillata (Smooth cauliflower coral)	796			
PFX17159.1	A0A2B4RK21	A0A2B4RK21_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene18537	Stylophora pistillata (Smooth cauliflower coral)	504	nucleic acid binding [GO:0003676]	GO:0003676	
PFX12858.1	A0A2B4R8Z5	A0A2B4R8Z5_STYPI	unreviewed	Retrovirus-related Pol polyprotein (Fragment)	POL AWC38_SpisGene23115	Stylophora pistillata (Smooth cauliflower coral)	1263	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
RMX47705.1	A0A3M6U1Y0	A0A3M6U1Y0_9CNID	unreviewed	Uncharacterized protein	pdam_00024566	Pocillopora damicornis	413			
PFX13176.1	A0A2B4R7N6	A0A2B4R7N6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene22766	Stylophora pistillata (Smooth cauliflower coral)	257			
PFX34061.1	A0A2B4SW09	A0A2B4SW09_STYPI	unreviewed	Trifunctional purine biosynthetic protein adenosine-3	GART AWC38_SpisGene1005	Stylophora pistillata (Smooth cauliflower coral)	474	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; phosphoribosylamine-glycine ligase activity [GO:0004637]; DNA integration [GO:0015074]; purine nucleobase biosynthetic process [GO:0009113]	GO:0003676; GO:0004637; GO:0005524; GO:0009113; GO:0015074; GO:0046872	
PFX19073.1	A0A2B4RQJ1	A0A2B4RQJ1_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene16523	Stylophora pistillata (Smooth cauliflower coral)	597	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
AFZ78089.1	L0ATA5	L0ATA5_ACRPL	unreviewed	Alpha o G protein		Acropora palmata (Elkhorn coral)	354	G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]	GO:0003924; GO:0005525; GO:0007188; GO:0031683; GO:0046872	
PFX29122.1	A0A2B4SKV1	A0A2B4SKV1_STYPI	unreviewed	SAM domain-containing protein	AWC38_SpisGene6155	Stylophora pistillata (Smooth cauliflower coral)	437			
PFX23750.1	A0A2B4S4M8	A0A2B4S4M8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene11665	Stylophora pistillata (Smooth cauliflower coral)	780			
PFX25193.1	A0A2B4S831	A0A2B4S831_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene10207	Stylophora pistillata (Smooth cauliflower coral)	532			
RWS21523.1	A0A443S217	A0A443S217_9ACAR	unreviewed	Uncharacterized protein (Fragment)	B4U80_04727	Leptotrombidium deliense	175	nucleus [GO:0005634]	GO:0005634	
PFX12820.1	A0A2B4R8J7	A0A2B4R8J7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23159	Stylophora pistillata (Smooth cauliflower coral)	758			
PFX21363.1	A0A2B4RX61	A0A2B4RX61_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene14148	Stylophora pistillata (Smooth cauliflower coral)	925	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	
PFX16090.1	A0A2B4RHY0	A0A2B4RHY0_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene19650	Stylophora pistillata (Smooth cauliflower coral)	648	protein dimerization activity [GO:0046983]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0046983	
PFX15293.1	A0A2B4REP9	A0A2B4REP9_STYPI	unreviewed	Tyrosine-protein phosphatase Lar	Lar AWC38_SpisGene20490	Stylophora pistillata (Smooth cauliflower coral)	2236			
PFX12812.1	A0A2B4R9A7	A0A2B4R9A7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23166	Stylophora pistillata (Smooth cauliflower coral)	383			
PFX28819.1	A0A2B4SI75	A0A2B4SI75_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene6418	Stylophora pistillata (Smooth cauliflower coral)	492	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
RMX50445.1	A0A3M6U9T7	A0A3M6U9T7_9CNID	unreviewed	Uncharacterized protein	pdam_00018327	Pocillopora damicornis	742			
GAU96685.1	A0A1D1V7D6	A0A1D1V7D6_RAMVA	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	RvY_08096 RvY_08096.1 RvY_08096-1	Ramazzottius varieornatus (Water bear) (Tardigrade)	531	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	
KAE8281698.1	A0A6G0HR10	A0A6G0HR10_LARCR	unreviewed	Retrovirus-related Pol polyprotein from transposon 17.6 Protease	D5F01_LYC20698	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	1055			
PFX33474.1	A0A2B4SS33	A0A2B4SS33_STYPI	unreviewed	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene1557	Stylophora pistillata (Smooth cauliflower coral)	743	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
RMX39743.1	A0A3M6TEE2	A0A3M6TEE2_9CNID	unreviewed	Uncharacterized protein	pdam_00022332	Pocillopora damicornis	807	integral component of membrane [GO:0016021]	GO:0016021	
PFX11763.1	A0A2B4R4N2	A0A2B4R4N2_STYPI	unreviewed	52 kDa repressor of the inhibitor of the protein kinase	Prkrir AWC38_SpisGene24400	Stylophora pistillata (Smooth cauliflower coral)	575	kinase activity [GO:0016301]	GO:0016301	
PFX18461.1	A0A2B4RLI4	A0A2B4RLI4_STYPI	unreviewed	Protein lifeguard 4	Tmbim4 AWC38_SpisGene17154	Stylophora pistillata (Smooth cauliflower coral)	441	integral component of membrane [GO:0016021]	GO:0016021	
PFX11757.1	A0A2B4R5W8	A0A2B4R5W8_STYPI	unreviewed	Integrase catalytic domain-containing protein	AWC38_SpisGene24405	Stylophora pistillata (Smooth cauliflower coral)	925	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
EDO46217.1	A7RQS6	A7RQS6_NEMVE	unreviewed	Predicted protein	v1g200715	Nematostella vectensis (Starlet sea anemone)	1216			
RMX49123.1	A0A3M6U615	A0A3M6U615_9CNID	unreviewed	Uncharacterized protein	pdam_00003918	Pocillopora damicornis	87			
PFX13519.1	A0A2B4R9N2	A0A2B4R9N2_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene22389	Stylophora pistillata (Smooth cauliflower coral)	546	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
RUA04678.1	A0A432I381	A0A432I381_9GAMM	unreviewed	Uncharacterized protein	DSY43_05910	Gammaproteobacteria bacterium	132			
PFX26604.1	A0A2B4S7G7	A0A2B4S7G7_STYPI	unreviewed	RNA-directed DNA polymerase (EC 2.7.7.49)	pol AWC38_SpisGene8741	Stylophora pistillata (Smooth cauliflower coral)	815	DNA-binding transcription factor activity [GO:0003700]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0003700; GO:0008270; GO:0015074	
PFX14590.1	A0A2B4RDM4	A0A2B4RDM4_STYPI	unreviewed	Werner syndrome ATP-dependent helicase	WRN AWC38_SpisGene21235	Stylophora pistillata (Smooth cauliflower coral)	973	helicase activity [GO:0004386]	GO:0004386	
AUW34331.1	A0A2K9YNB4	A0A2K9YNB4_9CIRC	unreviewed	ATP-dependent helicase Rep (EC 3.6.1.3) (RepP) (Replication-associated protein)	Rep	Circovirus sp.	266	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; DNA replication [GO:0006260]; protein-DNA covalent cross-linking [GO:0018142]	GO:0003723; GO:0003724; GO:0006260; GO:0016779; GO:0016888; GO:0018142	
PFX20768.1	A0A2B4RWR3	A0A2B4RWR3_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	jockey\pol AWC38_SpisGene14765	Stylophora pistillata (Smooth cauliflower coral)	1049	metal ion binding [GO:0046872]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0046872	
PFX24926.1	A0A2B4S6B4	A0A2B4S6B4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene10469	Stylophora pistillata (Smooth cauliflower coral)	238			
PFX32959.1	A0A2B4SUW5	A0A2B4SUW5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene2158	Stylophora pistillata (Smooth cauliflower coral)	108	integral component of membrane [GO:0016021]	GO:0016021	
PFX33094.1	A0A2B4SQZ8	A0A2B4SQZ8_STYPI	unreviewed	Triple QxxK/R motif-containing protein	AWC38_SpisGene2008	Stylophora pistillata (Smooth cauliflower coral)	83	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0016021	
EDO37812.1	A7SEM0	A7SEM0_NEMVE	unreviewed	Predicted protein	v1g244716	Nematostella vectensis (Starlet sea anemone)	116			
PFX23741.1	A0A2B4S1F7	A0A2B4S1F7_STYPI	unreviewed	THAP-type domain-containing protein	AWC38_SpisGene11703	Stylophora pistillata (Smooth cauliflower coral)	317	DNA binding [GO:0003677]	GO:0003677	
EDO33906.1	A7SQV5	A7SQV5_NEMVE	unreviewed	Predicted protein	v1g215992	Nematostella vectensis (Starlet sea anemone)	693	protein dimerization activity [GO:0046983]	GO:0046983	
PFX21740.1	A0A2B4RYW0	A0A2B4RYW0_STYPI	unreviewed	Neuroendocrine convertase 1	Pcsk1 AWC38_SpisGene13748	Stylophora pistillata (Smooth cauliflower coral)	1099	metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0046872	
EDO37031.1	A7SH17	A7SH17_NEMVE	unreviewed	Predicted protein	v1g212174	Nematostella vectensis (Starlet sea anemone)	246			
PFX16011.1	A0A2B4REF3	A0A2B4REF3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene19740	Stylophora pistillata (Smooth cauliflower coral)	386			
RMX50010.1	A0A3M6U8K7	A0A3M6U8K7_9CNID	unreviewed	Uncharacterized protein	pdam_00002923	Pocillopora damicornis	165			
RMX50012.1	A0A3M6U8J8	A0A3M6U8J8_9CNID	unreviewed	PDZ domain-containing protein	pdam_00002925	Pocillopora damicornis	505	integral component of membrane [GO:0016021]	GO:0016021	
RMX57174.1	A0A3M6UUD2	A0A3M6UUD2_9CNID	unreviewed	Uncharacterized protein	pdam_00024324	Pocillopora damicornis	349			
PFX23221.1	A0A2B4RZZ6	A0A2B4RZZ6_STYPI	unreviewed	Reverse transcriptase domain-containing protein	AWC38_SpisGene12218	Stylophora pistillata (Smooth cauliflower coral)	364			
PFX21077.1	A0A2B4RXL5	A0A2B4RXL5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene14449	Stylophora pistillata (Smooth cauliflower coral)	440			
RLI27414.1	A0A497MMP4	A0A497MMP4_9ARCH	unreviewed	DNA polymerase (EC 2.7.7.7)	DRO52_00275	Candidatus Bathyarchaeota archaeon	790	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	
PFX12456.1	A0A2B4R5M3	A0A2B4R5M3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23585	Stylophora pistillata (Smooth cauliflower coral)	741			
PFX17119.1	A0A2B4RJX7	A0A2B4RJX7_STYPI	unreviewed	Serine/threonine-protein kinase svkA	svkA AWC38_SpisGene18560	Stylophora pistillata (Smooth cauliflower coral)	391	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	
EDO49956.1	A7REQ7	A7REQ7_NEMVE	unreviewed	Predicted protein	v1g237703	Nematostella vectensis (Starlet sea anemone)	1037	integral component of plasma membrane [GO:0005887]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]	GO:0004930; GO:0005887; GO:0007189	
PFX12903.1	A0A2B4R7U9	A0A2B4R7U9_STYPI	unreviewed	Dimer_Tnp_hAT domain-containing protein	AWC38_SpisGene23068	Stylophora pistillata (Smooth cauliflower coral)	299	protein dimerization activity [GO:0046983]	GO:0046983	
PFX19821.1	A0A2B4RQD6	A0A2B4RQD6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene15761	Stylophora pistillata (Smooth cauliflower coral)	900			
PFX14707.1	A0A2B4RED9	A0A2B4RED9_STYPI	unreviewed	Tyrosine-protein kinase SPK-1	AWC38_SpisGene21120	Stylophora pistillata (Smooth cauliflower coral)	1542	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
KAA0722308.1	A0A5A9PKH5	A0A5A9PKH5_9TELE	unreviewed	Retrovirus-related Pol polyprotein from transposon opus	E1301_Tti014688	Triplophysa tibetana	1173	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX20669.1	A0A2B4RV17	A0A2B4RV17_STYPI	unreviewed	Monocarboxylate transporter 10	slc16a10 AWC38_SpisGene14871	Stylophora pistillata (Smooth cauliflower coral)	1559	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	
RUA05254.1	A0A432I505	A0A432I505_9GAMM	unreviewed	CCHC-type domain-containing protein	DSY43_04950	Gammaproteobacteria bacterium	466	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
ABV24975.1	A8C9L0	A8C9L0_MONCP	unreviewed	Glutaredoxin		Montipora capitata (Rice coral)	104	electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035]; cell redox homeostasis [GO:0045454]	GO:0009055; GO:0015035; GO:0045454	
PFX11695.1	A0A2B4R5Y4	A0A2B4R5Y4_STYPI	unreviewed	Pogo transposable element with KRAB domain	POGK AWC38_SpisGene24482	Stylophora pistillata (Smooth cauliflower coral)	251	nucleic acid binding [GO:0003676]	GO:0003676	
RMX52484.1	A0A3M6UG61	A0A3M6UG61_9CNID	unreviewed	Uncharacterized protein	pdam_00013776	Pocillopora damicornis	215			
PFX26614.1	A0A2B4S7H7	A0A2B4S7H7_STYPI	unreviewed	Retrovirus-related Pol polyprotein	pol AWC38_SpisGene8723	Stylophora pistillata (Smooth cauliflower coral)	739			
PFX32738.1	A0A2B4SW01	A0A2B4SW01_STYPI	unreviewed	LINE-1 reverse transcriptase-like	AWC38_SpisGene2416	Stylophora pistillata (Smooth cauliflower coral)	654	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
RMX37808.1	A0A3M6T925	A0A3M6T925_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00024988	Pocillopora damicornis	161			
RMX41294.1	A0A3M6TJ68	A0A3M6TJ68_9CNID	unreviewed	DDE-1 domain-containing protein (Fragment)	pdam_00017738	Pocillopora damicornis	181	nucleic acid binding [GO:0003676]	GO:0003676	
RMX43221.1	A0A3M6TPG7	A0A3M6TPG7_9CNID	unreviewed	Uncharacterized protein	pdam_00024856	Pocillopora damicornis	290	metal ion binding [GO:0046872]	GO:0046872	
EDO42661.1	A7S0X8	A7S0X8_NEMVE	unreviewed	Predicted protein	v1g205093	Nematostella vectensis (Starlet sea anemone)	453			
RMX44923.1	A0A3M6TU37	A0A3M6TU37_9CNID	unreviewed	Uncharacterized protein	pdam_00020675	Pocillopora damicornis	275			
PFX14495.1	A0A2B4RDY8	A0A2B4RDY8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene21338	Stylophora pistillata (Smooth cauliflower coral)	340			
PFX22149.1	A0A2B4RZC1	A0A2B4RZC1_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene13326	Stylophora pistillata (Smooth cauliflower coral)	553	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
RXN20196.1	A0A498MNE6	A0A498MNE6_LABRO	unreviewed	Olfactory receptor 4C3-like protein	ROHU_025234	Labeo rohita (Indian major carp) (Cyprinus rohita)	776	integral component of membrane [GO:0016021]	GO:0016021	
PFX12368.1	A0A2B4R7L6	A0A2B4R7L6_STYPI	unreviewed	E3 ubiquitin-protein ligase TRIM71	trim71 AWC38_SpisGene23693	Stylophora pistillata (Smooth cauliflower coral)	1063	zinc ion binding [GO:0008270]	GO:0008270	
PFX22781.1	A0A2B4RYS2	A0A2B4RYS2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene12690	Stylophora pistillata (Smooth cauliflower coral)	193			
AET09742.1	G8HTB5	G8HTB5_ACRMI	unreviewed	Uncharacterized protein		Acropora millepora (Staghorn coral) (Heteropora millepora)	79			
KAB0344736.1	A0A5N3V6B2	A0A5N3V6B2_MUNMU	unreviewed	F-box domain-containing protein (Fragment)	FD754_021662	Muntiacus muntjak (Barking deer) (Indian muntjac)	352			
PFX28896.1	A0A2B4SHN3	A0A2B4SHN3_STYPI	unreviewed	Integrase catalytic domain-containing protein	AWC38_SpisGene6391	Stylophora pistillata (Smooth cauliflower coral)	1287	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
